"KPD" "LMTD" "CLMTD" "KF" "KF2" "KF0" "FF" "MES_STATE" "EFF_STATE" "OFF_STATE" "T_STATE" "DT_STATE" "FOL_STATE"
0.525443465204281 103.136265714376 99.7154095619367 0.880048881042375 0.91024000839558 1.10000002384185 0.172509101212122 0 0 0 0 0 2
0.525442628856326 103.137904423454 99.7169951725543 0.880048731155486 0.910239841912915 1.10000002384185 0.172509252559996 0 0 0 0 0 2
0.525441792558905 103.139543183668 99.7185808401276 0.880048580330466 0.910239674391695 1.10000002384185 0.172509404852011 0 0 0 0 0 2
0.525440956287676 103.141181897107 99.72016645495 0.88004843045407 0.910239507920725 1.10000002384185 0.172509556189253 0 0 0 0 0 2
0.525440120018297 103.142820605733 99.7217520651544 0.880048280578151 0.910239341450297 1.10000002384185 0.172509707526002 0 0 0 0 0 2
0.525439283799448 103.144459365494 99.7233377323137 0.880048129764156 0.910239173941375 1.10000002384185 0.172509859806837 0 0 0 0 0 2
0.525438447851937 103.146098020063 99.7249232909554 0.880047979807112 0.910239007381373 1.10000002384185 0.172510011225017 0 0 0 0 0 2
0.525437612198334 103.147736679143 99.7265088461337 0.880047830833491 0.910238841910319 1.10000002384185 0.172510161653245 0 0 0 0 0 2
0.525436776033694 103.149375433791 99.7280945083995 0.880047680027325 0.910238674410142 1.10000002384185 0.17251031392613 0 0 0 0 0 2
0.525435939919578 103.151014146326 99.7296801223952 0.88004753017286 0.910238507963636 1.10000002384185 0.172510465241132 0 0 0 0 0 2
0.525435103807308 103.152652854048 99.7312657317724 0.880047380318873 0.910238341517676 1.10000002384185 0.172510616555638 0 0 0 0 0 2
0.525434267745557 103.154291566282 99.7328513454925 0.880047230471709 0.910238175079316 1.10000002384185 0.172510767863234 0 0 0 0 0 2
0.525433431955111 103.155930266572 99.7344369559204 0.880047079591795 0.910238007497793 1.10000002384185 0.17251092021007 0 0 0 0 0 2
0.525432595945716 103.157568978504 99.7360225693646 0.880046929751954 0.910237841067602 1.10000002384185 0.172511071510241 0 0 0 0 0 2
0.525431760450982 103.159207631868 99.7376081190985 0.880046780800639 0.910237675621443 1.10000002384185 0.172511221915837 0 0 0 0 0 2
0.525430924493935 103.160846390125 99.7391937848806 0.880046630023333 0.91023750815345 1.10000002384185 0.172511374159463 0 0 0 0 0 2
0.525430088563063 103.162485101606 99.7407793979122 0.880046480194441 0.910237341735474 1.10000002384185 0.172511525448529 0 0 0 0 0 2
0.525429252634031 103.164123808274 99.7423650063243 0.880046330366037 0.910237175318053 1.10000002384185 0.17251167673709 0 0 0 0 0 2
0.525428417024941 103.165762512323 99.7439506204071 0.880046179511319 0.910237007764627 1.10000002384185 0.172511829058383 0 0 0 0 0 2
0.52542758114825 103.16740121869 99.7455362285442 0.88004602969023 0.910236841355366 1.10000002384185 0.172511980339526 0 0 0 0 0 2
0.525426745322066 103.169039929569 99.7471218410241 0.880045879875964 0.910236674953705 1.10000002384185 0.17251213161376 0 0 0 0 0 2
0.525425910010479 103.170678628505 99.7487074424077 0.880045730005464 0.910236508490139 1.10000002384185 0.172512282944272 0 0 0 0 0 2
0.525425074236625 103.172317339083 99.7502930546127 0.880045580198494 0.910236342096619 1.10000002384185 0.172512434211105 0 0 0 0 0 2
0.525424238464605 103.173956044848 99.7518786621987 0.880045430392009 0.910236175703648 1.10000002384185 0.172512585477439 0 0 0 0 0 2
0.525423403012489 103.175594747994 99.7534642754554 0.88004527955932 0.910236008174796 1.10000002384185 0.172512737776392 0 0 0 0 0 2
0.525422567292795 103.177233453458 99.7550498827662 0.880045129760148 0.910235841789986 1.10000002384185 0.172512889035307 0 0 0 0 0 2
0.525421731623599 103.178872163434 99.7566354944198 0.8800449799678 0.910235675412777 1.10000002384185 0.172513040287312 0 0 0 0 0 2
0.525420895956232 103.180510915223 99.7582211540698 0.880044829231356 0.910235507990379 1.10000002384185 0.172513192489488 0 0 0 0 0 2
0.525420060339359 103.182149624897 99.7598067654478 0.880044679446324 0.910235341621331 1.10000002384185 0.172513343734074 0 0 0 0 0 2
0.525419225261344 103.183788280667 99.7613923175975 0.880044530552775 0.910235176239604 1.10000002384185 0.172513494081096 0 0 0 0 0 2
0.525418389941828 103.185426931624 99.7629778729337 0.880044380683454 0.910235009777462 1.10000002384185 0.172513645410313 0 0 0 0 0 2
0.525417554403418 103.187065687473 99.7645635365133 0.880044229964847 0.910234842374953 1.10000002384185 0.172513797594408 0 0 0 0 0 2
0.525416718866834 103.188704391884 99.7661491428605 0.880044080191239 0.91023467601866 1.10000002384185 0.172513948827398 0 0 0 0 0 2
0.525415883380736 103.190343100807 99.7677347535508 0.880043930424452 0.910234509669965 1.10000002384185 0.172514100053481 0 0 0 0 0 2
0.525415047896461 103.191981851542 99.7693204122365 0.880043779713685 0.910234342276212 1.10000002384185 0.172514252229617 0 0 0 0 0 2
0.525414212462669 103.193620560164 99.7709060226514 0.88004362995421 0.910234175935675 1.10000002384185 0.172514403448284 0 0 0 0 0 2
0.525413377543342 103.195259210218 99.7724915693568 0.880043481082954 0.910234010578829 1.10000002384185 0.172514553772686 0 0 0 0 0 2
0.525412542431188 103.19689791141 99.774077180825 0.880043330297965 0.910233843103188 1.10000002384185 0.172514706023266 0 0 0 0 0 2
0.525411707051505 103.198536614918 99.7756627863463 0.880043180546267 0.910233676771338 1.10000002384185 0.172514857234035 0 0 0 0 0 2
0.525410871722299 103.200175322939 99.7772483962106 0.88004303080139 0.910233510447085 1.10000002384185 0.172515008437898 0 0 0 0 0 2
